name of company,year included,sector,short description of company,money raised at time of publication,money raised current,revenue at time of publication,valuation at time of publication,most recent valuation month year,notes
The Yes,2021,Commerce,AI-based retail app and site,$31 million,$31 million,>$5 million on pace to generate in 2021,$100 million,$87.6 million (June 2022),Acquired by Pinterest
Thirdweb,2022,Crypto,NFT and Web3 app software,$29 million,$29M (Jul 2022),NA,$160 million,$160M (Jul 2022),
Together,2023,Data & AI,Open-source LLM software,$77.5 million,$228.5M,"$20 million, on pace to generate annually in 2023",$300 million post-investment,$1.25B,
Tome,2023,Consumer & Creator,AI text to presentation graphics,$81 million,$81M,<$5 million,$300 million,$300M,
Tracksuit,2024,Commerce,Brand research software,$18.5 million,$18.5M,$10M annual recurring revenue,$90 million,$90M,
Trade Republic,2020,Fintech,Commission-free mobile broker,$92 million,$1.24B (June 2022),$60 million projected for 2020,NA,$5.29B (June 2022),
Transfer Technology,2023,Asia,Industrial robot camera maker,$12.4 million,$20M,$4.2 million forecasted in 2023,$54 million,$68M,
TRM Labs,2021,Crypto,Blockchain intelligence firm,$19.9 million,$149.9 million (Nov 2022),>$5 million on pace to generate annually,$55 million,$680M (Nov 2022),
Turing,2021,B2B & Cybersecurity,Remote hiring vetting platform,$51.50 million,$144M,>$20 million annualized revenue,$142 million,$1.1B (December 2021),
Two Boxes,2023,Commerce,E-commerce returns software,$4.5 million,$9.8M (September 2024),$2 million to $3 million projected in 2024,$15 million,$30.4M (September 2024),
Udio,2024,Creator & Consumer,AI song maker,$10 million,$10M,NA,NA,NA,
Unit,2021,Fintech,Banking as a service platform,$69.6 million,$168.87M,$6 million annualized revenue,$225 million,$1.2B (May 2022),
Unit21,2020,Data & AI,Fraud prevention software,$13 million,$92M (June 2023),>$1 million on pace to generate annually,<$100 million,$700M (June 2023),
Universe,2022,Media,Mobile website software,$47.32 million,47.32M (Nov 2021),>$2 million in 2021,>$100 million,$110M (Nov 2021),
Unstructured.io,2023,Data & AI,AI data analysis,$25 million,$65M,<$10 million lifetime,$80 million,$230M,
Upwind,2024,SaaS & Security,Cybersecurity monitoring firm,$78 million,$177M,$5M annual recurring revenue,$300 million,$900M,
Vannevar Labs,2023,Defense,AI/ML-driven national security tool,$91 million,$91M,$48 million as of September 2023,$575 million,$575M,
Varda Space,2023,Defense,Pharmaceuticals maker,$54 million,$145M,$10 million forecasted in 2023,$500 million,N/A,
Vendr,2021,B2B & Cybersecurity,Software as a service buying and management platform,$60.15 million,$209M (June 2022),>$16 million on page to generate in 2021,$600 million,$1B,
Vercel,2020,B2B & Cybersecurity,Web development platform,$21 million,$312.99M (Feb 2023),$5 million projected subscription revenue in 2020,$66 million,$2.5B (Oct 2021),
Vic.ai,2022,Data & AI,Cloud-based accounting software,$62.7 million,$114.7M (Dec 2022),$12.5 million projected in 2022,~$175 million,$223M (Dec 2022),
Virtually Human Studio,2021,Media,NFT gaming and entertainment platform,$21.56 million,$21.56M,>$50 million expected for 2021,$100 million,$86.1M (July 2021),
Viture,2024,Devices & Robots,Augmented reality glasses company,>$50 million,>$50M,$60M projected for 2024,$200 million,$200M,
Vizzio,2023,Asia,AI 3-D urban visualization tool,$20 million,$20M,$100 million expected for fiscal year ending June 2024,$200 million post-money,$200M,
Wave,2020,Media,Virtual concert production platform,>$42.5 million,$65M,NA,NA,N/A,
Well-Link Tech,2023,Asia,Metaverse image rendering,$100 million,$100M (Dec 2023),$22 million in 2022,$700 million as of Sept. 2022,N/A,
Workweek,2022,Media,B2B & Cybersecurity newsletter platform,$7.6 million,$19.69M (Apr 2024),~$10 million annualized,>$30 million,N/A,
XYZ Robotics,2021,Asia,3D machine vision and robotic manipulation technology,$63 million,$100M,$15 million on pace to generate in 2021,$300 million,NA,
Yahaha,2021,Asia,Cloud-based videogame platform,$50 million,$50M,NA,>$200 million,NA,
Yidebang,2020,Asia,Healthcare software developer,$80 million,$38M,>$15 million projected for 2020,~$150 million,NA,
Yubo,2020,Consumer & Creator,Social livestreaming app,$60 million,€60M,$20 million projected for 2020,$240 million,N/A,
Zafran,2024,SaaS & Security,AI cybsersecurity company,$70 million,$70M,$5M annual recurring revenue,$250 million,$250M,
Zaihui,2020,Asia,Marketing automation provider,$71 million,$276M,$40 million projected for 2020,$200 million,NA,
Zapier,2020,B2B & Cybersecurity,Workflow automation software,$1.5 million,$1.43M (Jan 2021),>$100 million on pace to generate annually,NA,$5B (Jan 2021),
Zapp,2021,Commerce,On-demand delivery services,$105.54 million,$346.59M (Oct 2023),$50 million annualized revenue,>$200 million,$377.01M (January 2022),
Zerion,2021,Crypto,Digital wallet and investment app,$10.2 million,$22.5M (Aug 2022),>$300K in its lifetime,$40 million,$142.3M (August 2022),
Zestworld,2022,Media,Webcomics subscription platform,$11.9 million,$9.79M (Apr 2023),Nominal,$38 million,$36.79M (Feb 2022),
Zongwei Technology,2024,Asia,Factory conveyor system company,$28.4 million,$28.4M,$14.2M,$142 million,$142M,
